timestep,demand_el,
115,318348.8349,
116,313221.1738,
117,299015.1062,
118,285884.4168,
119,280784.4478,
120,262627.635,
121,249206.1781,
122,239144.7008,
123,232249.3581,
124,228247.8439,
125,228732.4564,
126,233227.8137,
127,249533.8684,
128,274466.0246,
129,285898.2629,
130,289996.6995,
131,294847.4393,
132,299712.0251,
133,299970.4851,
134,295973.5863,
135,291344.3836,
136,289456.7028,
137,292567.4531,
138,307031.9806,
139,312219.6414,
140,306639.6753,
141,292188.9939,
142,282561.3601,
143,279565.9936,
144,263587.6292,
145,249510.7916,
146,238558.5505,
147,232106.282,
148,228478.6117,
149,230952.4429,
150,241156.9963,
151,266139.9214,
152,297625.8839,
153,307655.0537,
154,308287.3576,
155,310562.7284,
156,313235.0198,
157,312976.5599,
158,310087.3467,
159,306081.2172,
160,304941.2241,
161,305795.065,
162,320905.7425,
163,324574.9509,
164,320148.824,
165,306182.755,
166,294173.5972,
167,286858.257,
168,269818.3606,
169,255418.4481,
170,245320.0479,
171,238083.1688,
172,233121.6605,
173,234907.8035,
174,243616.9813,
175,265604.54,
176,295710.5109,
177,306058.1404,
178,308236.5887,
179,311079.6483,
180,313968.8615,
181,314162.7065,
182,308250.4347,
183,303436.6178,
184,300302.7907,
185,303062.774,
186,318958.062,
187,321094.9721,
188,313041.1749,
189,296398.1991,
190,286082.8771,
191,283433.6625,
192,270256.8194,
193,260107.6503,
194,250876.9372,
195,244406.2073,
196,239283.1615,
197,237243.1739,
198,235244.7245,
199,232637.048,
200,242656.9871,
201,256646.1329,
202,270976.8151,
203,280678.2946,
204,287061.3327,
205,288930.5521,
206,284172.1195,
207,276358.3208,
208,274096.7961,
209,277978.311,
210,291856.6882,
211,296762.8122,
212,289281.3192,
213,273852.1822,
214,266292.2281,
215,267418.3751,
216,258759.9662,
217,246049.2742,
218,235383.1852,
219,228875.5324,
220,222030.9586,
221,217558.6781,
222,211129.4864,
223,200574.1659,
224,203860.2998,
225,215638.6898,
226,229595.528,
227,238826.2412,
228,251066.1668,
229,251735.3935,
230,242818.5246,
231,236573.9472,
232,234847.8038,
233,239763.1586,
234,261321.4891,
235,272873.7266,
236,271350.6589,
237,261012.2602,
238,254583.0685,
239,258949.1958,
240,248361.5679,
241,237829.3242,
242,228506.3039,
243,224315.5601,
244,222017.1125,
245,224380.1751,
246,234764.7274,
247,263486.0913,
248,292812.067,
249,305042.7619,
250,308878.1232,
251,312902.7142,
252,317988.8371,
253,318602.6795,
254,316262.6938,
255,311587.3375,
256,308730.4318,
257,308531.9715,
258,320642.6671,
259,325461.0994,
260,321842.6598,
261,308573.5097,
262,296605.8901,
263,290615.1573,
264,272550.6517,
265,257873.8178,
266,248186.1843,
267,242481.6036,
268,239790.8507,
269,241392.3794,
270,250480.0165,
271,280784.4478,
272,312016.5657,
273,321759.5834,
274,321787.2756,
275,323236.4975,
276,324118.0306,
277,325207.2548,
278,322848.8076,
279,318833.4474,
280,316918.0744,
281,318118.0671,
282,332462.5953,
283,337521.0261,
284,333039.5149,
285,318118.0671,
286,306118.14,
287,297215.1172,
288,279658.3008,
289,266347.6124,
290,257592.281,
291,250849.2451,
292,246833.8848,
293,249510.7916,
294,258616.8902,
295,286955.1795,
296,318348.8349,
297,328581.0804,
298,328179.5444,
299,330750.298,
300,332693.3631,
301,331045.6809,
302,330224.1474,
303,326628.7846,
304,324856.4877,
305,324708.7963,
306,337534.8722,
307,341499.4635,
308,335721.0371,
309,318127.2978,
310,304170.4595,
311,296481.2755,
312,279436.7637,
313,259318.4244,
314,249496.9456,
315,242283.1433,
316,239707.7743,
317,240473.9235,
318,250064.6344,
319,276575.2426,
320,306358.1385,
321,315971.9263,
322,316581.1534,
323,319114.9841,
324,322318.0416,
325,322142.658,
326,319701.1344,
327,314905.7789,
328,311633.4911,
329,310336.5759,
330,323504.1882,
331,327750.3163,
332,322054.9662,
333,306108.9093,
334,291819.7653,
335,284329.0416,
336,266652.226,
337,252330.7745,
338,242786.2171,
339,237446.2496,
340,235083.187,
341,237400.096,
342,246903.1152,
343,272186.0385,
344,302919.6979,
345,313770.4012,
346,315145.7775,
347,319096.5227,
348,322156.5041,
349,320033.4401,
350,315441.1603,
351,308356.5879,
352,304848.9169,
353,303962.7685,
354,315459.6217,
355,318639.6024,
356,311421.1847,
357,294741.2861,
358,281707.5191,
359,277558.3135,
360,262807.6339,
361,248915.4106,
362,238309.3212,
363,231524.7471,
364,227154.0044,
365,225178.6318,
366,221320.1937,
367,219044.8229,
368,232909.3541,
369,248555.4128,
370,262687.6347,
371,270819.8929,
372,276658.319,
373,275167.5588,
374,267962.9872,
375,262553.7893,
376,262036.8694,
377,265189.1579,
378,281749.0573,
379,290061.3145,
380,283539.8157,
381,266896.8399,
382,260223.0343,
383,261298.4123,
384,250840.0143,
385,239693.9282,
386,228377.0739,
387,219395.59,
388,215712.5355,
389,212458.7091,
390,204811.0632,
391,195340.3516,
392,197080.341,
393,208798.7313,
394,224670.9426,
395,236167.7958,
396,248144.6461,
397,247941.5704,
398,239375.4686,
399,232443.203,
400,229406.2984,
401,231090.9036,
402,250276.9408,
403,263241.4774,
404,261381.4888,
405,251615.3942,
406,246284.6574,
407,249127.7171,
408,235489.3384,
409,223175.567,
410,214147.9296,
411,209643.3416,
412,209306.4205,
413,214175.6217,
414,226747.853,
415,253793.8425,
416,285381.3429,
417,298788.9538,
418,302582.7769,
419,304968.9162,
420,310553.4977,
421,309251.9671,
422,307784.2837,
423,303035.0818,
424,300118.1765,
425,298645.8777,
426,311245.8012,
427,316941.1512,
428,311836.5668,
429,296564.3519,
430,284222.8884,
431,275758.3245,
432,254167.6864,
433,237880.0931,
434,229553.9898,
435,226350.9324,
436,226410.932,
437,231252.441,
438,241756.9926,
439,270072.2052,
440,301392.0149,
441,313031.9441,
442,312990.4059,
443,315311.9303,
444,317527.3015,
445,315519.6213,
446,312727.3306,
447,307955.0519,
448,306238.1393,
449,305282.7605,
450,317130.3808,
451,322470.3483,
452,318321.1428,
453,301535.0909,
454,288459.7858,
455,278799.8445,
456,258206.1234,
457,242827.7553,
458,234732.4199,
459,229230.9149,
460,229304.7606,
461,233061.6608,
462,242929.2932,
463,270976.8151,
464,303288.9264,
465,313378.0959,
466,313082.7131,
467,314107.3222,
468,315602.6978,
469,312404.2557,
470,309671.9646,
471,306048.9097,
472,304821.2248,
473,304816.6095,
474,318385.7578,
475,325954.9426,
476,320508.8218,
477,305001.2237,
478,289170.5507,
479,280341.3735,
480,261575.3337,
481,246847.7309,
482,237977.0156,
483,233555.504,
484,232373.9727,
485,234944.7263,
486,244821.5894,
487,271479.8889,
488,304082.7678,
489,313493.4798,
490,312321.1792,
491,312468.8706,
492,317019.6122,
493,315907.3113,
494,314015.0151,
495,311038.1101,
496,308661.2015,
497,307031.9806,
498,318658.0638,
499,324113.4153,
500,320227.285,
501,304701.2255,
502,290329.0052,
503,280945.9853,
504,261344.5659,
505,244996.9729,
506,236486.2554,
507,229895.5262,
508,229549.3745,
509,232152.4356,
510,242006.2219,
511,269052.2114,
512,301202.7853,
513,313415.0187,
514,313876.5544,
515,314388.859,
516,315791.9274,
517,307239.6717,
518,302324.3169,
519,299162.7977,
520,296416.6605,
521,295821.2795,
522,310936.5723,
523,315958.0802,
524,309390.4278,
525,293338.2177,
526,278702.922,
527,273866.0283,
528,257139.9761,
529,241895.4533,
530,232410.8955,
531,225621.706,
532,222354.0336,
533,220997.1187,
534,218001.7523,
535,216178.6865,
536,230527.8301,
537,248749.2578,
538,262544.5586,
539,270362.9726,
540,275204.4817,
541,272536.8056,
542,263541.4756,
543,256756.9015,
544,255275.372,
545,256766.1322,
546,273081.4177,
547,281259.8295,
548,274733.7153,
549,259203.0404,
550,249612.3295,
551,250216.9412,
552,238890.8562,
553,225229.4007,
554,215191.0002,
555,208291.0421,
556,204691.064,
557,202946.4592,
558,197449.5695,
559,189681.9244,
560,193821.8992,
561,205757.2113,
562,219801.7414,
563,231017.0579,
564,242509.2957,
565,242546.2186,
566,234040.1164,
567,227357.0801,
568,225778.6282,
569,228847.8403,
570,248103.1079,
571,262198.4069,
572,261663.0255,
573,252547.6963,
574,246160.0428,
575,248670.7968,
576,237977.0156,
577,224024.7927,
578,215084.847,
579,211235.6396,
580,209758.7255,
581,215417.1526,
582,227684.7704,
583,254979.9892,
584,283978.2745,
585,294935.131,
586,299208.9512,
587,304798.148,
588,310405.8063,
589,309284.2746,
590,306976.5963,
591,301664.3209,
592,298655.1084,
593,295327.4363,
594,308370.434,
595,316451.9234,
596,312127.3343,
597,298433.5713,
598,286253.6453,
599,278610.6148,
600,259876.8825,
601,245343.1247,
602,235780.1058,
603,231778.5917,
604,230661.6754,
605,233837.0407,
606,245181.5872,
607,273755.2597,
608,304544.3034,
609,313895.0158,
610,315459.6217,
611,318588.8335,
612,320633.4364,
613,318639.6024,
614,318150.3746,
615,315238.0846,
616,311859.6436,
617,309376.5817,
618,325341.1001,
619,331899.5218,
620,326845.7064,
621,312436.5632,
622,299832.0244,
623,294408.9804,
624,280230.605,
625,268466.0611,
626,259272.2708,
627,253124.6158,
628,246820.0388,
629,246395.426,
630,255561.5241,
631,282607.5136,
632,314388.859,
633,322608.809,
634,323490.3421,
635,326227.2486,
636,330044.1485,
637,328982.6165,
638,328904.1554,
639,327039.5513,
640,325631.8676,
641,326231.8639,
642,345944.0519,
643,354570.1533,
644,348214.8073,
645,330944.143,
646,317624.2239,
647,310908.8801,
648,295590.5117,
649,280198.2975,
650,270916.8154,
651,262798.4032,
652,257873.8178,
653,256018.4444,
654,262789.1725,
655,287338.2541,
656,316521.1537,
657,325502.6376,
658,327371.857,
659,331793.3686,
660,337557.949,
661,337917.9468,
662,335121.0407,
663,330242.6088,
664,326236.4793,
665,320254.9772,
666,330699.5291,
667,337613.3333,
668,329434.9214,
669,313018.0981,
670,297935.1128,
671,290199.7752,
672,272901.4188,
673,258524.583,
674,246621.5784,
675,239453.9297,
676,237649.3253,
677,238147.7838,
678,247295.4205,
679,270746.0472,
680,300496.6357,
681,310922.7262,
682,314481.1661,
683,316267.3091,
684,317827.2996,
685,315981.157,
686,310031.9624,
687,304110.4599,
688,300575.0968,
689,298595.1088,
690,314610.3961,
691,319678.0576,
692,312228.8721,
693,293707.4462,
694,282515.2065,
695,279155.2269,
696,266393.766,
697,253327.6915,
698,245020.0497,
699,239398.5454,
700,237404.7114,
701,236527.7936,
702,231109.365,
703,226207.8563,
704,236970.8678,
705,252021.5456,
706,268156.8322,
707,273732.1829,
708,277678.3128,
709,276275.2444,
710,267667.6044,
711,261224.5666,
712,256586.1333,
713,254712.2985,
714,270630.6633,
715,283124.4336,
716,275038.3288,
717,258833.8119,
718,248850.7957,
719,252815.387,
720,243464.6745,
721,232355.5113,
722,222820.1846,
723,215915.6112,
724,210321.799,
725,205674.1349,
726,201303.3923,
727,194214.2046,
728,197094.1871,
729,208194.1196,
730,223018.6449,
731,233509.3504,
732,245703.1225,
733,245015.4343,
734,237104.7132,
735,229290.9145,
736,226992.4669,
737,228201.6904,
738,248306.1836,
739,267261.453,
740,264690.6994,
741,256369.2115,
742,250627.7079,
743,256355.3654,
744,244466.2069,
745,242753.9096,
746,235715.4909,
747,234210.8846,
748,232244.7427,
749,236403.179,
750,244203.1316,
751,272993.7259,
752,305093.5308,
753,316128.8484,
754,320504.2064,
755,324939.5641,
756,327367.2417,
757,326471.8625,
758,325678.0212,
759,322262.6573,
760,319064.2152,
761,313318.0963,
762,324764.1806,
763,334714.8893,
